dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by
ml100k,als,none,200,50,10,5.390625,4.640996000000087,0.0,0.0,0.0208333333333333,0.1924708000005921,0.0071022727272727,0.3106821999990643,0.0,0.0,5.390625,0.000139678030303,0.0473213788017443,1.0,0.105,0.8263333333333334,0.4277242401779095,0.7726167531504818,0.3,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,als,none,200,100,10,5.546875,4.626479499998823,0.0,0.0,0.01953125,0.2079147000004013,0.0086805555555555,0.303173099999185,0.0,0.0,5.546875,0.0001410590277777,0.0473213788017443,1.0,0.105,0.8305000000000001,0.4277242401779095,0.7726167531504818,0.475,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,als,none,200,200,10,5.796875,4.621737000001303,0.0,0.0,0.0130208333333333,0.3076101999995444,0.009765625,0.3099896999992779,0.0,0.0,5.796875,0.0001139322916666,0.0473213788017443,1.0,0.105,0.8305000000000001,0.4277242401779095,0.7726167531504818,0.63,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,als,none,200,400,10,5.75,4.640135600000576,0.0,0.0,0.0288461538461538,0.1664605000005394,0.0135869565217391,0.3080422000002727,0.0,0.0,5.75,0.0002121655518394,0.0473213788017443,1.0,0.105,0.8305000000000001,0.4277242401779095,0.7726167531504818,0.825,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,als,none,200,800,10,6.109375,4.649050300000454,0.0,0.0,0.0328125,0.1296889000004739,0.01953125,0.3155406999994739,0.0,0.0,6.109375,0.00026171875,0.0473213788017443,1.0,0.105,0.8305000000000001,0.4277242401779095,0.7726167531504818,0.925,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,800.0,user history in a small catalogue
ml100k,als,quota_mmr,200,50,10,5.53125,4.635361599999669,0.08984375,0.3514268999988417,0.0182291666666666,0.228445599999759,0.0072674418604651,0.3043536999994103,0.1302083333333333,0.3980735999994067,5.62109375,0.0007785247093023,0.0483184526043074,0.9596206967756168,0.105,0.2623333333333333,0.4625648628613788,0.7445537435137138,0.3,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.156318027538986,,
ml100k,als,quota_mmr,200,100,10,5.484375,4.671410000000833,0.08984375,0.3570230999994237,0.0180921052631578,0.2432206000012229,0.0082236842105263,0.3015503999995417,0.2734375,0.5516712000007828,5.57421875,0.0014987664473684,0.0486990880468484,0.9490266638027676,0.1,0.2554999999999999,0.475166790214974,0.7295863602668643,0.475,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.1397392930373975,,
ml100k,als,quota_mmr,200,200,10,5.359375,4.682883299999958,0.0859375,0.3547393000008014,0.0183823529411764,0.2190615999988949,0.0100806451612903,0.3011679999999614,0.59375,0.6041179000003467,5.4453125,0.0031110649905123,0.054368251432244,0.9389865097534555,0.115,0.26,0.5003706449221645,0.7126923647146034,0.63,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.1235106814762031,,
ml100k,als,quota_mmr,200,400,10,5.46875,4.654863000001569,0.09375,0.3684025999991718,0.0148809523809523,0.270705300001282,0.0135869565217391,0.3052262000001065,1.546875,1.550110099999074,5.5625,0.0078767145445134,0.0453910212523724,0.9275643335001134,0.1,0.2615,0.514455151964418,0.7006360266864344,0.825,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.1090961819513771,,
ml100k,als,quota_mmr,200,800,10,5.515625,4.639872300000207,0.08984375,0.3577678000001469,0.01953125,0.2078244000003906,0.0260416666666666,0.3170678000005864,3.28125,3.280088800000158,5.60546875,0.0166341145833333,0.041745749874014,0.9138419162945708,0.09,0.259,0.5263157894736842,0.6856478873239437,0.925,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.0971668070458688,800.0,user history in a small catalogue
